No,docid,reg,postype,wordcat,wid,wcorresp,wstatus,lemma,word,metaphor,id,corresp,status,morph,order,type,mettext,DELMET,delmetadditionalinfo,nonmrw_mrw,eight_word_classes,register,widlii,del_nondel_widlii,six_word_classes,sid,pnum,snum,sindex,windex,wcount,scount,plen,slen,sentence_id,sentence
4565,a1j-fragment33,news,PRP,PR,-,-,-,in,In,mrw,-,-,-,n,-,met,In,0,,1,5,4,0,0,5,500,6,7,1,1,822,39,2,25,a1j-fragment33_7,"In virtually every case the aim of causing upheaval is explicitly declared, because Labour's aim would be to upset the bureaucratic order it inherits."
4587,a1j-fragment33,news,NN1,N,-,-,-,order,order,mrw,-,-,-,n,-,met,order,0,,1,4,4,0,0,3,500,6,7,1,23,822,39,2,25,a1j-fragment33_7,"In virtually every case the aim of causing upheaval is explicitly declared, because Labour's aim would be to upset the bureaucratic order it inherits."
4589,a1j-fragment33,news,VVZ,V,-,-,-,inherit,inherits,mrw,-,-,-,n,-,met,inherits,0,,1,6,4,0,0,4,500,6,7,1,25,822,39,2,25,a1j-fragment33_7,"In virtually every case the aim of causing upheaval is explicitly declared, because Labour's aim would be to upset the bureaucratic order it inherits."
4599,a1j-fragment33,news,VVN,V,-,-,-,design,designed,mrw,-,-,-,n,-,met,designed,0,,1,6,4,0,0,4,501,6,8,2,10,822,39,2,21,a1j-fragment33_8,"New departments and quangos would, according to the review, be designed to act as irritants and antagonists within the Civil Service system."
4601,a1j-fragment33,news,VVI,V,-,-,-,act,act,mrw,-,-,-,n,-,met,act,0,,1,6,4,0,0,4,501,6,8,2,12,822,39,2,21,a1j-fragment33_8,"New departments and quangos would, according to the review, be designed to act as irritants and antagonists within the Civil Service system."
4603,a1j-fragment33,news,NN2,N,-,-,-,irritant,irritants,mrw,-,-,-,n,-,met,irritants,0,,1,4,4,0,0,3,501,6,8,2,14,822,39,2,21,a1j-fragment33_8,"New departments and quangos would, according to the review, be designed to act as irritants and antagonists within the Civil Service system."
4606,a1j-fragment33,news,PRP,PR,-,-,-,within,within,mrw,-,-,-,n,-,met,within,0,,1,5,4,0,0,5,501,6,8,2,17,822,39,2,21,a1j-fragment33_8,"New departments and quangos would, according to the review, be designed to act as irritants and antagonists within the Civil Service system."
4610,a1j-fragment33,news,NN1,N,-,-,-,system,system,mrw,-,-,-,n,-,met,system,0,,1,4,4,0,0,3,501,6,8,2,21,822,39,2,21,a1j-fragment33_8,"New departments and quangos would, according to the review, be designed to act as irritants and antagonists within the Civil Service system."
4615,a1j-fragment33,news,AV0,AV,-,-,-,nowhere,nowhere,mrw,-,-,WIDLII,n,-,met,nowhere,0,,1,2,4,0,0,2,502,7,9,1,5,822,39,2,20,a1j-fragment33_9,"But the policy review nowhere considers the overall effect of the individual changes proposed, or how they might be co-ordinated."
4616,a1j-fragment33,news,VVZ,V,-,-,-,consider,considers,mrw,-,-,double,n,-,met,considers,0,,1,6,4,0,0,4,502,7,9,1,6,822,39,2,20,a1j-fragment33_9,"But the policy review nowhere considers the overall effect of the individual changes proposed, or how they might be co-ordinated."
4630,a1j-fragment33,news,VVN,V,-,-,-,co-ordinate,co-ordinated,mrw,-,-,-,n,-,met,co-ordinated,0,,1,6,4,0,0,4,502,7,9,1,20,822,39,2,20,a1j-fragment33_9,"But the policy review nowhere considers the overall effect of the individual changes proposed, or how they might be co-ordinated."
4634,a1j-fragment33,news,VVI,V,-,-,-,contemplate,contemplate,mrw,-,-,-,n,-,met,contemplate,0,,1,6,4,0,0,4,503,7,10,2,4,822,39,2,21,a1j-fragment33_10,Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while rebuilding the governmental machine.
4648,a1j-fragment33,news,VVG,V,-,-,-,rebuild,rebuilding,mrw,-,-,-,n,-,met,rebuilding,1,widlii,1,6,4,2,2,4,503,7,10,2,18,822,39,2,21,a1j-fragment33_10,Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while rebuilding the governmental machine.
4651,a1j-fragment33,news,NN1,N,-,-,-,machine,machine,mrw,-,-,-,n,-,met,machine,1,widlii,1,4,4,2,2,3,503,7,10,2,20,822,39,2,21,a1j-fragment33_10,Nor does it contemplate the knock-on consequences for Labour ministers of attempting to implement their programme while rebuilding the governmental machine.
4661,a1j-fragment33,news,NN1,N,-,-,-,centrepiece,centrepiece,mrw,-,-,-,n,-,met,centrepiece,0,,1,4,4,0,0,3,504,8,11,1,10,822,39,2,34,a1j-fragment33_11,"The “medium term industrial strategy” which would form the centrepiece of Labour's economic policy would, according to the Productive and Competitive Economy review group, be “administered by a transformed Department of Trade and Industry”."
4688,a1j-fragment33,news,VVZ,V,-,-,-,add,adds,mrw,-,-,double,n,-,met,adds,0,,1,6,4,0,0,4,505,8,12,2,3,822,39,2,24,a1j-fragment33_12,"The review adds: “What we now seek is a DTI which will have an equal, if not superior status, to that of the Treasury.”"
4698,a1j-fragment33,news,VHI,V,-,-,-,have,have,mrw,-,-,-,n,-,met,have,0,,1,6,4,0,0,4,505,8,12,2,13,822,39,2,24,a1j-fragment33_12,"The review adds: “What we now seek is a DTI which will have an equal, if not superior status, to that of the Treasury.”"
4704,a1j-fragment33,news,NN1,N,-,-,-,status,status,mrw,-,-,PP,n,-,met,status,0,,1,4,4,0,0,3,505,8,12,2,19,822,39,2,24,a1j-fragment33_12,"The review adds: “What we now seek is a DTI which will have an equal, if not superior status, to that of the Treasury.”"
4706,a1j-fragment33,news,DT0,DT,-,-,-,that,that,mrw,-,-,-,n,-,impl,that,0,,1,3,4,0,0,6,505,8,12,2,21,822,39,2,24,a1j-fragment33_12,"The review adds: “What we now seek is a DTI which will have an equal, if not superior status, to that of the Treasury.”"
4710,a1j-fragment33,news,DT0,DT,-,-,-,that,That,mrw,-,-,-,n,-,met,That,0,,1,3,4,0,0,6,506,9,13,1,1,822,39,3,13,a1j-fragment33_13,That approach would seek to knock out a keystone of Civil Service tradition.
4711,a1j-fragment33,news,NN1,N,-,-,-,approach,approach,mrw,-,-,-,n,-,met,approach,0,,1,4,4,0,0,3,506,9,13,1,2,822,39,3,13,a1j-fragment33_13,That approach would seek to knock out a keystone of Civil Service tradition.
4713,a1j-fragment33,news,VVI,V,-,-,-,seek,seek,mrw,-,-,PP,n,-,met,seek,0,,1,6,4,0,0,4,506,9,13,1,4,822,39,3,13,a1j-fragment33_13,That approach would seek to knock out a keystone of Civil Service tradition.
4715,a1j-fragment33,news,VVI,V,-,-,-,knock,knock,mrw,-,-,-,n,-,met,knock,0,,1,6,4,0,0,4,506,9,13,1,6,822,39,3,13,a1j-fragment33_13,That approach would seek to knock out a keystone of Civil Service tradition.
4716,a1j-fragment33,news,AVP,AV,-,-,-,out,out,mrw,-,-,-,n,-,met,out,0,,1,2,4,0,0,2,506,9,13,1,7,822,39,3,13,a1j-fragment33_13,That approach would seek to knock out a keystone of Civil Service tradition.
4718,a1j-fragment33,news,NN1,N,-,-,-,keystone,keystone,mrw,-,-,-,n,-,met,keystone,0,,1,4,4,0,0,3,506,9,13,1,9,822,39,3,13,a1j-fragment33_13,That approach would seek to knock out a keystone of Civil Service tradition.
4727,a1j-fragment33,news,VVN,V,-,-,-,seek,sought,mrw,-,-,PP,n,-,met,sought,0,,1,6,4,0,0,4,507,9,14,2,5,822,39,3,13,a1j-fragment33_14,Labour policy has long sought to challenge the Treasury's dominance in government.
4729,a1j-fragment33,news,VVI,V,-,-,-,challenge,challenge,mrw,-,-,-,n,-,met,challenge,0,,1,6,4,0,0,4,507,9,14,2,7,822,39,3,13,a1j-fragment33_14,Labour policy has long sought to challenge the Treasury's dominance in government.
4734,a1j-fragment33,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,507,9,14,2,12,822,39,3,13,a1j-fragment33_14,Labour policy has long sought to challenge the Treasury's dominance in government.
4745,a1j-fragment33,news,VVN + AVP,V + AV,-,-,-,set + up,set + up,mrw,a1j-fragment33-pv3,a1j-fragment33-pv3,-,n,-,met,set up,0,,1,6,4,0,0,4,508,9,15,3,10,822,39,3,26,a1j-fragment33_15,"But its last effort — the Department of Economic Affairs, set up by Harold Wilson and headed by George Brown — ended in futile departmental and ministerial infighting."
4751,a1j-fragment33,news,VVN,V,-,-,-,head,headed,mrw,-,-,-,n,-,met,headed,0,,1,6,4,0,0,4,508,9,15,3,16,822,39,3,26,a1j-fragment33_15,"But its last effort — the Department of Economic Affairs, set up by Harold Wilson and headed by George Brown — ended in futile departmental and ministerial infighting."
4756,a1j-fragment33,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,508,9,15,3,21,822,39,3,26,a1j-fragment33_15,"But its last effort — the Department of Economic Affairs, set up by Harold Wilson and headed by George Brown — ended in futile departmental and ministerial infighting."
4772,a1j-fragment33,news,PRP,PR,-,-,-,at,at,mrw,-,-,-,n,-,met,at,0,,1,5,4,0,0,5,509,10,16,1,11,822,39,2,22,a1j-fragment33_16,"There would in addition be a minister for Science and Technology at the newly supreme DTI, with responsibility for determing investment in research."
4775,a1j-fragment33,news,AJ0,AJ,-,-,-,supreme,supreme,mrw,-,-,WIDLII,n,-,met,supreme,0,,1,1,4,0,0,1,509,10,16,1,14,822,39,2,22,a1j-fragment33_16,"There would in addition be a minister for Science and Technology at the newly supreme DTI, with responsibility for determing investment in research."
4777,a1j-fragment33,news,PRP,PR,-,-,-,with,with,mrw,-,-,-,n,-,met,with,0,,1,5,4,0,0,5,509,10,16,1,16,822,39,2,22,a1j-fragment33_16,"There would in addition be a minister for Science and Technology at the newly supreme DTI, with responsibility for determing investment in research."
4782,a1j-fragment33,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,509,10,16,1,21,822,39,2,22,a1j-fragment33_16,"There would in addition be a minister for Science and Technology at the newly supreme DTI, with responsibility for determing investment in research."
4788,a1j-fragment33,news,PRP,PR,-,-,-,in,in,mrw,-,-,-,n,-,met,in,0,,1,5,4,0,0,5,510,10,17,2,5,822,39,2,19,a1j-fragment33_17,There is no mention in the education policy of how that might affect the Department of Education and Science.
4794,a1j-fragment33,news,DT0,DT,-,-,-,that,that,mrw,-,-,-,n,-,met,that,0,,1,3,4,0,0,6,510,10,17,2,11,822,39,2,19,a1j-fragment33_17,There is no mention in the education policy of how that might affect the Department of Education and Science.
4808,a1j-fragment33,news,VVI,V,-,-,-,override,override,mrw,-,-,-,n,-,met,override,0,,1,6,4,0,0,4,511,11,18,1,6,822,39,3,19,a1j-fragment33_18,"But while the DTI would override the Treasury, a new “powerful Department of Consumer Affairs” would antagonise the DTI."
4813,a1j-fragment33,news,AJ0,AJ,-,-,-,powerful,powerful,mrw,-,-,-,n,-,met,powerful,0,,1,1,4,0,0,1,511,11,18,1,11,822,39,3,19,a1j-fragment33_18,"But while the DTI would override the Treasury, a new “powerful Department of Consumer Affairs” would antagonise the DTI."
4819,a1j-fragment33,news,VVI,V,-,-,-,antagonise,antagonise,mrw,-,-,-,n,-,met,antagonise,0,,1,6,4,0,0,4,511,11,18,1,17,822,39,3,19,a1j-fragment33_18,"But while the DTI would override the Treasury, a new “powerful Department of Consumer Affairs” would antagonise the DTI."
4825,a1j-fragment33,news,VVN,V,-,-,-,head,headed,mrw,-,-,-,n,-,met,headed,0,,1,6,4,0,0,4,512,11,19,2,4,822,39,3,21,a1j-fragment33_19,It would be headed by “a minister of Cabinet rank” and act as “the consumers’ voice with other government departments”.
4831,a1j-fragment33,news,NN1,N,-,-,-,rank,rank,mrw,-,-,-,n,-,met,rank,0,,1,4,4,0,0,3,512,11,19,2,10,822,39,3,21,a1j-fragment33_19,It would be headed by “a minister of Cabinet rank” and act as “the consumers’ voice with other government departments”.
4833,a1j-fragment33,news,VVB-NN1,V,-,-,-,act,act,mrw,-,-,-,n,-,met,act,0,,1,6,4,0,0,4,512,11,19,2,12,822,39,3,21,a1j-fragment33_19,It would be headed by “a minister of Cabinet rank” and act as “the consumers’ voice with other government departments”.
4837,a1j-fragment33,news,VVB-NN1,V,-,-,-,voice,voice,mrw,-,-,-,n,-,met,voice,0,,1,6,4,0,0,4,512,11,19,2,16,822,39,3,21,a1j-fragment33_19,It would be headed by “a minister of Cabinet rank” and act as “the consumers’ voice with other government departments”.
4838,a1j-fragment33,news,PRP,PR,-,-,-,with,with,mrw,-,-,-,n,-,met,with,0,,1,5,4,0,0,5,512,11,19,2,17,822,39,3,21,a1j-fragment33_19,It would be headed by “a minister of Cabinet rank” and act as “the consumers’ voice with other government departments”.
4847,a1j-fragment33,news,NN1,N,-,-,-,intrusion,intrusion,mrw,-,-,WIDLII,n,-,met,intrusion,0,,1,4,4,0,0,3,513,11,20,3,5,822,39,3,22,a1j-fragment33_20,"Its remit for inter-departmental intrusion would be wide, with “a watching brief over government action” and the ability to initiate consumer legislation."
4850,a1j-fragment33,news,AJ0,AJ,-,-,-,wide,wide,mrw,-,-,-,n,-,met,wide,0,,1,1,4,0,0,1,513,11,20,3,8,822,39,3,22,a1j-fragment33_20,"Its remit for inter-departmental intrusion would be wide, with “a watching brief over government action” and the ability to initiate consumer legislation."
4851,a1j-fragment33,news,PRP,PR,-,-,-,with,with,mrw,-,-,-,n,-,met,with,0,,1,5,4,0,0,5,513,11,20,3,9,822,39,3,22,a1j-fragment33_20,"Its remit for inter-departmental intrusion would be wide, with “a watching brief over government action” and the ability to initiate consumer legislation."
4853,a1j-fragment33,news,AJ0,AJ,-,-,-,watching,watching,mrw,-,-,-,n,-,met,watching,0,,1,1,4,0,0,1,513,11,20,3,11,822,39,3,22,a1j-fragment33_20,"Its remit for inter-departmental intrusion would be wide, with “a watching brief over government action” and the ability to initiate consumer legislation."
4855,a1j-fragment33,news,PRP,PR,-,-,-,over,over,mrw,-,-,-,n,-,met,over,0,,1,5,4,0,0,5,513,11,20,3,13,822,39,3,22,a1j-fragment33_20,"Its remit for inter-departmental intrusion would be wide, with “a watching brief over government action” and the ability to initiate consumer legislation."
4860,a1j-fragment33,news,NN1,N,-,-,-,ability,ability,mrw,-,-,-,n,-,met,ability,0,,1,4,4,0,0,3,513,11,20,3,18,822,39,3,22,a1j-fragment33_20,"Its remit for inter-departmental intrusion would be wide, with “a watching brief over government action” and the ability to initiate consumer legislation."
4872,a1j-fragment33,news,VVN,V,-,-,-,give,given,mrw,-,-,-,n,-,met,given,0,,1,6,4,0,0,4,514,12,21,1,8,822,39,2,10,a1j-fragment33_21,Only the Women's Ministry would be given equal license.
4878,a1j-fragment33,news,AJ0,AJ,-,-,-,able,able,mrw,-,-,WIDLII,n,-,met,able,0,,1,1,4,0,0,1,515,12,22,2,4,822,39,2,19,a1j-fragment33_22,"It would be able to “require each government department to review its policies, practices, and existing and proposed legislation”."
4880,a1j-fragment33,news,VVI,V,-,-,-,require,require,mrw,-,-,-,n,-,met,require,0,,1,6,4,0,0,4,515,12,22,2,6,822,39,2,19,a1j-fragment33_22,"It would be able to “require each government department to review its policies, practices, and existing and proposed legislation”."
4898,a1j-fragment33,news,VVN,V,-,-,-,bear,born,mrw,-,-,-,n,-,met,born,0,,1,6,4,0,0,4,516,13,23,1,5,822,39,1,23,a1j-fragment33_23,"While new departments are born and others extended, one of the oldest — the Home Office — would become a shadow of its present self."
4901,a1j-fragment33,news,VVD-VVN,V,-,-,-,extend,extended,mrw,-,-,-,n,-,met,extended,0,,1,6,4,0,0,4,516,13,23,1,8,822,39,1,23,a1j-fragment33_23,"While new departments are born and others extended, one of the oldest — the Home Office — would become a shadow of its present self."
4912,a1j-fragment33,news,NN1,N,-,-,-,shadow,shadow,mrw,-,-,-,n,-,met,shadow,0,,1,4,4,0,0,3,516,13,23,1,19,822,39,1,23,a1j-fragment33_23,"While new departments are born and others extended, one of the oldest — the Home Office — would become a shadow of its present self."
4915,a1j-fragment33,news,AJ0-NN1,AJ,-,-,-,present,present,mrw,-,-,-,n,-,met,present,0,,1,1,4,0,0,1,516,13,23,1,22,822,39,1,23,a1j-fragment33_23,"While new departments are born and others extended, one of the oldest — the Home Office — would become a shadow of its present self."
4916,a1j-fragment33,news,NN1,N,-,-,-,self,self,mrw,-,-,-,n,-,met,self,0,,1,4,4,0,0,3,516,13,23,1,23,822,39,1,23,a1j-fragment33_23,"While new departments are born and others extended, one of the oldest — the Home Office — would become a shadow of its present self."
4925,a1j-fragment33,news,VVI + AVP,V + AV,-,-,-,take + over,take + over,mrw,a1j-fragment33-pv4,a1j-fragment33-pv4,PP,n,-,met,take over,0,,1,6,4,0,0,4,517,14,24,1,9,822,39,3,36,a1j-fragment33_24,"Labour's proposed Department for Legal Administration would take over responsibility for courts and tribunals; court procedures; organisation, training and appointment of the legal profession, magistracy and judiciary; legal aid; legal services; and the Sentencing Council."
4953,a1j-fragment33,news,DT0,DT,-,-,-,that,That,mrw,-,-,-,n,-,met,That,0,,1,3,4,0,0,6,518,14,25,2,1,822,39,3,14,a1j-fragment33_25,"That would leave the Home Office with policing, penal policy and the criminal law."
4955,a1j-fragment33,news,VVI,V,-,-,-,leave,leave,mrw,-,-,-,n,-,met,leave,0,,1,6,4,0,0,4,518,14,25,2,3,822,39,3,14,a1j-fragment33_25,"That would leave the Home Office with policing, penal policy and the criminal law."
4959,a1j-fragment33,news,PRP,PR,-,-,-,with,with,mrw,-,-,-,n,-,met,with,0,,1,5,4,0,0,5,518,14,25,2,7,822,39,3,14,a1j-fragment33_25,"That would leave the Home Office with policing, penal policy and the criminal law."
4984,a1j-fragment33,news,VVN,V,-,-,-,give,given,mrw,-,-,-,n,-,met,given,0,,1,6,4,0,0,4,519,14,26,3,18,822,39,3,23,a1j-fragment33_26,"Responsibility for the Sex Discrimination Act, the Equal Pay Act and the Equal Opportunities Commission would be given to the Women's Ministry."
4985,a1j-fragment33,news,PRP,PR,-,-,-,to,to,mrw,-,-,-,n,-,met,to,0,,1,5,4,0,0,5,519,14,26,3,19,822,39,3,23,a1j-fragment33_26,"Responsibility for the Sex Discrimination Act, the Equal Pay Act and the Equal Opportunities Commission would be given to the Women's Ministry."
4995,a1j-fragment33,news,VHG,V,-,-,-,have,having,mrw,-,-,-,n,-,met,having,0,,1,6,4,0,0,4,520,15,27,1,6,822,39,3,24,a1j-fragment33_27,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment.
4997,a1j-fragment33,news,NN1,N,-,-,-,rank,rank,mrw,-,-,-,n,-,met,rank,0,,1,4,4,0,0,3,520,15,27,1,8,822,39,3,24,a1j-fragment33_27,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment.
5004,a1j-fragment33,news,NN1,N,-,-,-,member,member,mrw,-,-,-,n,-,met,member,0,,1,4,4,0,0,3,520,15,27,1,15,822,39,3,24,a1j-fragment33_27,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment.
5008,a1j-fragment33,news,AJ0,AJ,-,-,-,proper,proper,mrw,-,-,WIDLII,n,-,met,proper,0,,1,1,4,0,0,1,520,15,27,1,19,822,39,3,24,a1j-fragment33_27,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment.
5012,a1j-fragment33,news,PRP,PR,-,-,-,on,on,mrw,-,-,-,n,-,met,on,0,,1,5,4,0,0,5,520,15,27,1,23,822,39,3,24,a1j-fragment33_27,The concept of a minister having Cabinet rank — and therefore implicitly not being a member of the Cabinet proper — crops up again on environment.
5021,a1j-fragment33,news,VVI,V,-,-,-,operate,operate,mrw,-,-,-,n,-,met,operate,0,,1,6,4,0,0,4,521,15,28,2,8,822,39,3,11,a1j-fragment33_28,A “new Minister of Environmental Protection” would operate inside the DoE.
5022,a1j-fragment33,news,PRP,PR,-,-,-,inside,inside,mrw,-,-,WIDLII,n,-,met,inside,0,,1,5,4,0,0,5,521,15,28,2,9,822,39,3,11,a1j-fragment33_28,A “new Minister of Environmental Protection” would operate inside the DoE.
5025,a1j-fragment33,news,DT0,DT,-,-,-,that,That,mrw,-,-,-,n,-,met,That,0,,1,3,4,0,0,6,522,15,29,3,1,822,39,3,21,a1j-fragment33_29,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department.
5027,a1j-fragment33,news,VVI,V,-,-,-,work,work,mrw,-,-,-,n,-,met,work,0,,1,6,4,0,0,4,522,15,29,3,3,822,39,3,21,a1j-fragment33_29,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department.
5034,a1j-fragment33,news,NN2,N,-,-,-,conflict,conflicts,mrw,-,-,-,n,-,met,conflicts,0,,1,4,4,0,0,3,522,15,29,3,10,822,39,3,21,a1j-fragment33_29,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department.
5036,a1j-fragment33,news,NN1,N,-,-,-,interest,interest,mrw,-,-,WIDLII,n,-,met,interest,0,,1,4,4,0,0,3,522,15,29,3,12,822,39,3,21,a1j-fragment33_29,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department.
5037,a1j-fragment33,news,PRP,PR,-,-,-,with,with,mrw,-,-,-,n,-,met,with,0,,1,5,4,0,0,5,522,15,29,3,13,822,39,3,21,a1j-fragment33_29,That could work — though it is easy to imagine conflicts of interest with the housing and planning functions of the department.
